company,location,certification,datacenter
Badan Pemeriksa Keuangan RI,"Jakarta, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Badan Pemeriksa Keuangan RI
Badan Siber dan Sandi Negara (BSSN),"Depok, Indonesia",Tier IV Certification of Design Documents,Badan Siber dan Sandi Negara (BSSN)
Badan Siber dan Sandi Negara (BSSN),"Depok, Indonesia",Tier IV Certification of Constructed Facility,Badan Siber dan Sandi Negara (BSSN)
Bahrain Telecommunications Company (BATELCO),"Ras Abu Jarjur, Bahrain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Bahrain Telecommunications Company (BATELCO)
Bahrain Telecommunications Company (BATELCO),"Hamala, Bahrain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Bahrain Telecommunications Company (BATELCO)
Baidu,"Beijing, China",M&O Stamp Of Approval,Baidu
Banco Central de Honduras (BCH),"Tegucigalpa MDC Francisco Morazan, Honduras",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banco Central de Honduras (BCH)
Banco Central de Honduras (BCH),"San Pedro Sula, Honduras",Tier III Certification of Design Documents,Banco Central de Honduras (BCH)
Banco Central de Reserva del Perú,"Lima, Peru",Tier II Certification of Design Documents,Banco Central de Reserva del Perú
Banco de America Central SA,"San Marcos, El Salvador",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banco de America Central SA
Banco de Costa Rica,"San Jose, Costa Rica",Tier III Certification of Design Documents,Banco de Costa Rica
Banco de Crédito del Perú,"Chorrillos, Peru",M&O Stamp Of Approval,Banco de Crédito del Perú
Banco de Crédito del Perú,"Chorrillos, Peru",Tier III Certification of Design Documents,Banco de Crédito del Perú
Banco de Crédito del Perú,"La Molina, Peru",M&O Stamp Of ApprovalTier III Certification of Design Documents,Banco de Crédito del Perú
Banco de la Nación,"Lima, Peru",Tier III Certification of Design Documents,Banco de la Nación
Banco de la Nación,"Lima, Peru",Tier III Certification of Constructed Facility,Banco de la Nación
Banco de la Nación Argentina,"Buenos Aires, Argentina",M&O Stamp Of Approval,Banco de la Nación Argentina
Banco de la Nación Argentina,"Buenos Aires, Argentina",M&O Stamp Of Approval,Banco de la Nación Argentina
Banco de la Provincia de Buenos Aires,"Buenos Aires, Argentina",Tier III Certification of Design Documents,Banco de la Provincia de Buenos Aires
Banco do Brasil,"Rio de Janeiro, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banco do Brasil
Banco do Brasil,"São Paulo, Brazil",Tier III Certification of Design Documents,Banco do Brasil
Banco do Brasil,"Brasilia, Brazil",Tier III Certification of Design Documents,Banco do Brasil
Banco do Nordeste do Brasil S.A.,"Fortaleza, Brazil",Tier III Certification of Design Documents,Banco do Nordeste do Brasil S.A.
Banco Millennium Atlantico (BMA),"Tatatona Luanda, Angola",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banco Millennium Atlantico (BMA)
Banco Popular  y de Desarrollo Comunal,"San Jose, Costa Rica",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Banco Popular  y de Desarrollo Comunal
Banco República,"Montevideo, Uruguay",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Banco República
Banco Santander Brasil S/A,"Sao Paulo, Brazil",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Banco Santander Brasil S/A
Banco Santander Brasil S/A,"São Paulo, Brazil",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Banco Santander Brasil S/A
Banesco Banco,"Guatire Miranda, Municipio Zamora, Venezuela",Tier III Certification of Design Documents,Banesco Banco
Bangladesh Computer Council (BCC),"Dhaka, Bangladesh",Tier III Certification of Design Documents,Bangladesh Computer Council (BCC)
"Bangladesh Computer Council (BCC), ICT Division","Gazipur Dhaka, Bangladesh",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,"Bangladesh Computer Council (BCC), ICT Division"
Bank Albilad,"Riyadh, Saudi Arabia",Tier IV Certification of Design Documents,Bank Albilad
bank bjb,"Purwakarta, Indonesia",Tier III Certification of Design Documents,bank bjb
Bank of America,"Richardson Texas, United States",M&O Stamp Of Approval,Bank of America
Bank of America,"Richardson Texas, United States",M&O Stamp Of Approval,Bank of America
Bank of Chengdu,"Chengdu, China",M&O Stamp Of Approval,Bank of Chengdu
Bank of Communications,"Shanghai, China",Tier IV Certification of Design Documents,Bank of Communications
Bank of Dalian,"Dalian, China",M&O Stamp Of Approval,Bank of Dalian
"Bank of Jiujiang Co., Ltd.","Wuhan, China",M&O Stamp Of Approval,"Bank of Jiujiang Co., Ltd."
Bank of Nanjing,"Nanjing, China",M&O Stamp Of Approval,Bank of Nanjing
Bankmed SAL,"Beirut, Lebanon",Tier III Certification of Design Documents,Bankmed SAL
Banpro Grupo Promerica,"Managua, Nicaragua",Tier II Certification of Design DocumentsTier II Certification of Constructed Facility,Banpro Grupo Promerica
Banpro Grupo Promerica,"Boaco Boaco, Nicaragua",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banpro Grupo Promerica
Banque Centrale Populaire,"Berrechid, Morocco",Tier III Certification of Design Documents,Banque Centrale Populaire
Banque de Luxembourg,"Howald, Luxembourg",Tier III Certification of Design Documents,Banque de Luxembourg
Banque du Liban,"Beirut, Lebanon",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banque du Liban
Banque Libano-Française sal,"Ghazir, Lebanon",Tier III Certification of Design Documents,Banque Libano-Française sal
Banque Saudi Fransi,"Jeddah, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Banque Saudi Fransi
Bapro Medios de Pago S.A.,"Buenos Aires, Argentina",Tier II Certification of Design Documents,Bapro Medios de Pago S.A.
Barclays,"Barnwood Gloucester, United Kingdom",M&O Stamp Of Approval,Barclays
Barclays,"Northolt, United Kingdom",M&O Stamp Of Approval,Barclays
Barclays,"Slough, United Kingdom",M&O Stamp Of Approval,Barclays
Barclays,"London, United Kingdom",M&O Stamp Of Approval,Barclays
Barid Al-Maghrib SA,"Rabat, Morocco",Tier III Certification of Design Documents,Barid Al-Maghrib SA
Basefarm,"Rasta, Norway",Tier III Certification of Design Documents,Basefarm
BB&T,"Zebulon  North Carolina, United States",M&O Stamp Of Approval,BB&T
BBVA,"Madrid, Spain",M&O Stamp Of Approval,BBVA
BBVA,"Madrid, Spain",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,BBVA
