company,location,certification,datacenter
"REN – Rede Elétrica Nacional, S.A","Vila Nova de Famalicao Braga, Portugal",Tier III Certification of Constructed Facility,"REN – Rede Elétrica Nacional, S.A"
Repsol,"Lima, Peru",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Repsol
Republic of Turkey,"Ankara, Turkey",Tier III Certification of Design Documents,Republic of Turkey
Retelit Digital Services S.p.A,"Udine, Italy",M&O Stamp Of Approval,Retelit Digital Services S.p.A
RHB Bank Berhad,"Bangi Selangor Darul Ehsan, Malaysia",Tier III Certification of Design Documents,RHB Bank Berhad
Ricoh India Limited,"Kolkata West Bengal, India",Tier III Certification of Design Documents,Ricoh India Limited
Ricoh India Limited,"Kolkata West Bengal, India",Tier III Certification of Constructed Facility,Ricoh India Limited
Riyad Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Riyad Bank
Riyad Bank,"Dammam Eastern Province, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Riyad Bank
Riyadh Municipality,"Riyadh Al Riyadh, Saudi Arabia",Tier II Certification of Design Documents,Riyadh Municipality
Roads & Transport Authority (RTA),"Dubai, United Arab Emirates",Efficient IT Activated,Roads & Transport Authority (RTA)
Roads & Transport Authority (RTA),"Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Roads & Transport Authority (RTA)
Rogers Communications,"Ottawa Ontario, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Rogers Communications
Rogers Communications,"Edmonton Alberta, Canada",Tier III Certification of Constructed Facility,Rogers Communications
Rogers Communications,"Edmonton Alberta, Canada",Tier III Certification of Design Documents,Rogers Communications
Rogers Communications,"Markham Ontario, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Rogers Communications
Rogers Communications,"Airdrie Alberta, Canada",Tier III Certification of Design Documents,Rogers Communications
Rogers Communications,"Airdrie Alberta, Canada",Tier III Certification of Constructed Facility,Rogers Communications
"Romano Participações, Gestão e Tecnologia Ltda","Vila Velha, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Romano Participações, Gestão e Tecnologia Ltda"
Rostelecom,"Moscow, Russia",Tier III Certification of Design Documents,Rostelecom
Royal Bank of Canada,"Toronto Ontario, Canada",M&O Stamp Of Approval,Royal Bank of Canada
Royal Bank of Canada,"Toronto Ontario, Canada",M&O Stamp Of Approval,Royal Bank of Canada
Royal Commission at Yanbu (RCY),"Yanbu, Saudi Arabia",Tier III Certification of Design Documents,Royal Commission at Yanbu (RCY)
Royal Saudi Air Force,"Al-Kharj Central, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Royal Saudi Air Force
S&A Consultores Asociados Chile SA,"Santiago Region Metropolitana, Chile",Tier III Certification of Constructed Facility,S&A Consultores Asociados Chile SA
S&A Consultores Asociados Chile SA,"Santiago Region Metropolitana, Chile",Tier III Certification of Design Documents,S&A Consultores Asociados Chile SA
Sabey Data Center Properties,"Seattle  Washington, United States",M&O Stamp Of Approval,Sabey Data Center Properties
Safaricom PLC,"Nairobi, Kenya",Tier III Certification of Design Documents,Safaricom PLC
Salam,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Salam
"Samara State IT-project Centre (GKU SO ""RCUP"")","Togliatti Samara region, Russia",Tier III Certification of Design Documents,"Samara State IT-project Centre (GKU SO ""RCUP"")"
"Samara State IT-project Centre (GKU SO ""RCUP"")","Togliatti Samara region, Russia",Tier III Certification of Constructed Facility,"Samara State IT-project Centre (GKU SO ""RCUP"")"
Samsung SDS,"Suwon, Korea, South",Tier III Certification of Design Documents,Samsung SDS
SaskTel,"Saskatoon Saskatchewan, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,SaskTel
SaskTel,"White City Saskatchewan, Canada",Tier III Certification of Design Documents,SaskTel
SaskTel,"White City Saskatchewan, Canada",Tier III Certification of Constructed Facility,SaskTel
Saudi Arabian Monetary Authority,"Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Saudi Arabian Monetary Authority
Saudi Basic Industries Corp.,"Eastern Province, Saudi Arabia",M&O Stamp Of Approval,Saudi Basic Industries Corp.
Saudi Basic Industries Corp.,"Jubail Industrial City, Saudi Arabia",Tier II Certification of Design Documents,Saudi Basic Industries Corp.
Saudi Basic Industries Corp.,"AL Jubail Eastern Province, Saudi Arabia",Tier II Certification of Design Documents,Saudi Basic Industries Corp.
Saudi Basic Industries Corp.,"Al Jubail Eastern Province, Saudi Arabia",Tier IV Certification of Design Documents,Saudi Basic Industries Corp.
Saudi British Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Saudi British Bank
Saudi British Bank,"Jeddah, Saudi Arabia",Tier III Certification of Design Documents,Saudi British Bank
Saudi British Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi British Bank
Saudi Credit Bureau,"Riyadh Ar Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Saudi Credit Bureau
Saudi Data & AI Authority - National Information Center,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Data & AI Authority - National Information Center
Saudi Data & AI Authority - National Information Center,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Data & AI Authority - National Information Center
Saudi Electricity Company,"Dammam, Saudi Arabia",Tier II Certification of Design Documents,Saudi Electricity Company
Saudi Electricity Company,"Riyadh, Saudi Arabia",Tier II Certification of Design Documents,Saudi Electricity Company
Saudi Electricity Company,"Jeddah, Saudi Arabia",Tier II Certification of Design Documents,Saudi Electricity Company
Saudi Electricity Company,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Electricity Company
Saudi Electricity Company,"Riyadh, Saudi Arabia",Tier III Certification of Constructed Facility,Saudi Electricity Company
Saudi Hollandi Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Hollandi Bank
Saudi Hollandi Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Hollandi Bank
Saudi Industrial Development Fund,"Riyadh, Saudi Arabia",Tier II Certification of Design Documents,Saudi Industrial Development Fund
Saudi Investment Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Investment Bank
Saudi Investment Bank,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Investment Bank
Saudi Investment Bank,"Al-Kharj Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Saudi Investment Bank
Saudi National Bank,"King Abdullah Economic City, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Saudi National Bank
"Saudi Standards, Metrology, and Quality Organization","Riyadh, Saudi Arabia",Tier II Certification of Design Documents,"Saudi Standards, Metrology, and Quality Organization"
Saudi Telecom Company (stc),"Jeddah, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Jeddah, Saudi Arabia",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",Tier III Certification of Constructed Facility,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Makkah, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",M&O Stamp Of Approval,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Qassim, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Jeddah, Saudi Arabia",M&O Stamp Of ApprovalTier IV Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Dammam, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Dammam, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Dammam, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",Tier III Certification of Constructed Facility,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Dammam, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Sulaimaniyah Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Madinah, Saudi Arabia",Tier III Certification of Design Documents,Saudi Telecom Company (stc)
Saudi Telecom Company (stc),"Madinah, Saudi Arabia",Tier III Certification of Constructed Facility,Saudi Telecom Company (stc)
Sberbank,"Moscow, Russia",Tier III Certification of Constructed Facility,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Design Documents,Sberbank
Sberbank,"Moscow, Russia",Tier III Gold Certification of Operational Sustainability,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Constructed Facility,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Constructed Facility,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Constructed Facility,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Constructed Facility,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Sberbank
Sberbank,"Moscow, Russia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Sberbank
Scott Technology Center,"Omaha Nebraska, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Scott Technology Center
"Selectel, LLC","Moscow, Russia",Tier III Certification of Design Documents,"Selectel, LLC"
Senelec,"Diamniadio Dakar, Senegal",Tier III Certification of Design Documents,Senelec
Senelec,"Diamniadio Dakar, Senegal",Tier III Certification of Constructed Facility,Senelec
SERPRO,"Brasíla, Brazil",Tier III Certification of Design Documents,SERPRO
Servicio de Salud del Maule,"Region del Maule Provincia de Curico, Chile",Tier III Certification of Design Documents,Servicio de Salud del Maule
Servpac Inc.,"Mililani Hawaii, United States",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Servpac Inc.
Shandong Blue Ocean Pilot Data Development CO.Ltd,"Jinan City Shandong Province, China",Tier III Certification of Design Documents,Shandong Blue Ocean Pilot Data Development CO.Ltd
Shanghai @hub Corporation,"Hangzhou, China",M&O Stamp Of Approval,Shanghai @hub Corporation
Shanghai Allinfnt Finance & Development Co.,"Shanghai, China",M&O Stamp Of Approval,Shanghai Allinfnt Finance & Development Co.
"Shanghai Baosight Data Co., Ltd.","Shanghai, China",M&O Stamp Of Approval,"Shanghai Baosight Data Co., Ltd."
"Shanghai Baosight Data Co., Ltd.","Shanghai, China",M&O Stamp Of Approval,"Shanghai Baosight Data Co., Ltd."
Shanghai data port Limited by Share Ltd,"Shanghai, China",M&O Stamp Of Approval,Shanghai data port Limited by Share Ltd
"Shanghai Qnet Networking Technology Co., Ltd","Shanghai, China",Tier III Certification of Design Documents,"Shanghai Qnet Networking Technology Co., Ltd"
"Shanghai Qnet Networking Technology Co., Ltd","Shanghai, China",M&O Stamp Of Approval,"Shanghai Qnet Networking Technology Co., Ltd"
Shanghai Stock Exchange,"Shanghai, China",M&O Stamp Of Approval,Shanghai Stock Exchange
Shanghai Stock Exchange,"Shanghai, China",Tier IV Certification of Design Documents,Shanghai Stock Exchange
Shanghai Stock Exchange,"Shanghai, China",Tier III Certification of Design Documents,Shanghai Stock Exchange
"Shanghai Stock Exchange Technology Co., Ltd.","Shanghai, China",M&O Stamp Of Approval,"Shanghai Stock Exchange Technology Co., Ltd."
Shanghai Yovole Networks Inc.,"Beijing, China",Tier III Certification of Design Documents,Shanghai Yovole Networks Inc.
"Shanghai Yueke Data Technology Co., LTD","Shanghai, China",M&O Stamp Of Approval,"Shanghai Yueke Data Technology Co., LTD"
Sharjah E Government,"Sharjah, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Sharjah E Government
Shenzhen Huachen Communication,"Shenzhen Guangdong, China",Tier II Certification of Design Documents,Shenzhen Huachen Communication
Shenzhen Stock Exchange,"Shenzhen, China",Tier III Certification of Design DocumentsM&O Stamp Of Approval,Shenzhen Stock Exchange
Shipping Corporation,"Alpharetta Georgia, United States",Tier III Certification of Constructed Facility,Shipping Corporation
Shonfeld Engineering Ltd.,"Modiin, Israel",Tier IV Certification of Design Documents,Shonfeld Engineering Ltd.
Sify Technologies Ltd.,"Nodia, India",Tier III Certification of Design Documents,Sify Technologies Ltd.
Silc Immobles,"Barcelona, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Silc Immobles
Silc Immobles,"Barcelona, Spain",Tier III Certification of Design Documents,Silc Immobles
Silc Immobles,"Barcelona, Spain",Tier III Certification of Constructed Facility,Silc Immobles
Silc Immobles,"Torija, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Silc Immobles
Singapore Exchange (SGX),Singapore,Tier III Certification of Design Documents,Singapore Exchange (SGX)
"Sinnet (Shanghai) Information Service Co., Ltd.","Shanghai, China",Tier IV Certification of Design Documents,"Sinnet (Shanghai) Information Service Co., Ltd."
Siptel Chile S.A.,"Santiago, Chile",Tier III Certification of Design Documents,Siptel Chile S.A.
Sirius Data Centers,"Elk Grove Village Illinois, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Sirius Data Centers
SK Broadband,"Seoul, Korea, South",Tier III Certification of Design Documents,SK Broadband
Sky Serviços de Banda Larga Ltda.,"São Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Sky Serviços de Banda Larga Ltda.
Société pour le Développement des Infrastructures Numériques (SDIN),"Nouakchott, Mauritania",Tier III Certification of Design Documents,Société pour le Développement des Infrastructures Numériques (SDIN)
Solutions by STC,"Dhahran, Saudi Arabia",Tier I Certification of Design DocumentsTier I Certification of Constructed FacilityTier I Gold Certification of Operational Sustainability,Solutions by STC
Solutions Globales C.D.D. Inc.,"Drummondville Quebec, Canada",Tier III Certification of Design Documents,Solutions Globales C.D.D. Inc.
Sonatel,"Rufisque, Senegal",Tier III Certification of Design Documents,Sonatel
Sonatel,"Rufisque, Senegal",Tier III Certification of Constructed Facility,Sonatel
Sonatrach,"Hydra, Algeria",Tier III Certification of Design Documents,Sonatrach
SONDA Colombia S.A.,"Bogota, Colombia",Tier IV Certification of Design Documents,SONDA Colombia S.A.
SONDA S.A.,"Santiago de Chile Region Metropolitana, Chile",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,SONDA S.A.
SONDA S.A.,"Santiago, Chile",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,SONDA S.A.
SostraData,"Saint-Maurice-la-Souterraine, France",Tier IV Certification of Design Documents,SostraData
SostraData,"Saint-Maurice-la-Souterraine, France",Tier IV Certification of Constructed Facility,SostraData
SpaceDC - PT. PCDC PROPCO ONE,"Jakarta Barat, Indonesia",Tier III Certification of Design Documents,SpaceDC - PT. PCDC PROPCO ONE
Sri Lanka Telecom PLC,"Pitipana, Homagama, Sri Lanka",Tier III Certification of Design Documents,Sri Lanka Telecom PLC
Sri Lanka Telecom PLC,"Pitipana, Homagama, Sri Lanka",Tier III Certification of Constructed Facility,Sri Lanka Telecom PLC
ST Telemedia Global Data Centres,Singapore,Tier III Certification of Design Documents,ST Telemedia Global Data Centres
"Stack Data Network, LLC","St. Petersburg, Russia",Tier III Certification of Design Documents,"Stack Data Network, LLC"
Stack Infrastructure,"Atlanta Georgia , United States",M&O Stamp Of Approval,Stack Infrastructure
Stack Infrastructure,"Chicago Illinois, United States",M&O Stamp Of Approval,Stack Infrastructure
Stack Infrastructure,"Dallas Texas, United States",M&O Stamp Of Approval,Stack Infrastructure
Stack Infrastructure,"Hillsboro Oregon, United States",M&O Stamp Of Approval,Stack Infrastructure
Stack Infrastructure,"San Jose California , United States",M&O Stamp Of Approval,Stack Infrastructure
Stack Infrastructure,"Sterling Virginia , United States",M&O Stamp Of Approval,Stack Infrastructure
Stack Telecom Ltd,"Moscow, Russia",Tier III Certification of Design Documents,Stack Telecom Ltd
Star of Bosphorus,"Istanbul, Turkey",Tier III Certification of Design Documents,Star of Bosphorus
Star of Bosphorus,"Istanbul, Turkey",Tier III Certification of Constructed Facility,Star of Bosphorus
State Bank of India,"Hyderabad, India",M&O Stamp Of Approval,State Bank of India
State Bank of Pakistan,"Karachi, Pakistan",Tier III Certification of Design Documents,State Bank of Pakistan
State of Florida,"Tallahassee Florida, United States",Tier III Certification of Constructed Facility,State of Florida
Strateq,"Shah Alam Selangor Darul Ehsan, Malaysia",Tier III Certification of Design Documents,Strateq
Stream Data Centers,"Chaska Minnesota, United States",M&O Stamp Of Approval,Stream Data Centers
Stream Data Centers,"Chaska Minnesota, United States",Tier III Certification of Design Documents,Stream Data Centers
Stream Data Centers,"San Antonio Texas, United States",Tier III Certification of Design Documents,Stream Data Centers
"STT GDC (Thailand) Co., LTD","Bangkok, Thailand",Tier III Certification of Design Documents,"STT GDC (Thailand) Co., LTD"
"STT GDC (Thailand) Co., LTD","Bangkok, Thailand",Tier III Certification of Constructed Facility,"STT GDC (Thailand) Co., LTD"
STT Global Data Centres India Private Limited,"Bengaluru, India",Tier III Certification of Design Documents,STT Global Data Centres India Private Limited
Sun Life Financial,"Waterloo, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Sun Life Financial
SUNAT,"Lima, Peru",Tier III Certification of Design Documents,SUNAT
SUNAT,"Lima, Peru",Tier III Certification of Design Documents,SUNAT
"SUPERNAP (Thailand) Co., Ltd","Chonburi, Thailand",Tier IV Certification of Design Documents,"SUPERNAP (Thailand) Co., Ltd"
Suzhou International Science-Park Data Center Co.,"Suzhou, China",Tier IV Certification of Design Documents,Suzhou International Science-Park Data Center Co.
Swisscom,"Bern, Switzerland",Tier IV Certification of Design Documents,Swisscom
Swisscom,"Bern, Switzerland",Tier IV Certification of Constructed Facility,Swisscom
Switch,"Las Vegas Nevada, United States",Tier IV Certification of Design Documents,Switch
Switch,"Las Vegas Nevada, United States",Tier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Switch
Switch,"Las Vegas Nevada, United States",Tier IV Certification of Design Documents,Switch
Switch,"Las Vegas Nevada, United States",Tier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Switch
T-Systems International GmbH,"Biere, Germany",Tier III Certification of Design Documents,T-Systems International GmbH
T-Systems ITC Iberia SAU,"Barcelona, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,T-Systems ITC Iberia SAU
T-Systems ITC Iberia SAU,"Barcelona, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,T-Systems ITC Iberia SAU
T-Systems SA (Pty) Ltd,"Johannesburg Gauteng, South Africa",Tier III Certification of Design Documents,T-Systems SA (Pty) Ltd
T. Rowe Price,"Owings Mills Maryland, United States",M&O Stamp Of Approval,T. Rowe Price
T. Rowe Price,"Baltimore Maryland, United States",M&O Stamp Of Approval,T. Rowe Price
TC Basbakanlik AFAD,"Ankara, Turkey",Tier III Certification of Design Documents,TC Basbakanlik AFAD
TC Sağlık Bakanlığı,"Ankara, Turkey",Tier II Certification of Design Documents,TC Sağlık Bakanlığı
TC Ziraat Bankasi,"Istanbul, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,TC Ziraat Bankasi
TC Ziraat Bankasi,"Istanbul, Turkey",Tier III Certification of Constructed Facility - Provisional,TC Ziraat Bankasi
TC Ziraat Bankasi,"Istanbul, Turkey",Tier III Gold Certification of Operational Sustainability,TC Ziraat Bankasi
"T.C.C. Technology Co., Ltd.","Bangkok, Thailand",M&O Stamp Of Approval,"T.C.C. Technology Co., Ltd."
T5 Data Centers,"Kings Mountain  North Carolina, United States",M&O Stamp Of Approval,T5 Data Centers
T5 Data Centers,"Los Angeles California , United States",M&O Stamp Of Approval,T5 Data Centers
T5 Data Centers,"Portland Oregon, United States",M&O Stamp Of Approval,T5 Data Centers
"T5@Charlotte VII / CHADC1 Investments, LLC","Kings Mountain North Carolina, United States",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,"T5@Charlotte VII / CHADC1 Investments, LLC"
"T5@Charlotte VII / CHADC1 Investments, LLC","Kings Mountain North Carolina, United States",Tier III Certification of Design Documents,"T5@Charlotte VII / CHADC1 Investments, LLC"
Tadawul Real Estate Co. (TREC),"Riyadh, Saudi Arabia",Tier IV Certification of Design Documents,Tadawul Real Estate Co. (TREC)
Tadawul Real Estate Co. (TREC),"Riyadh, Saudi Arabia",Tier IV Certification of Constructed Facility,Tadawul Real Estate Co. (TREC)
Taif University,"Taif, Saudi Arabia",Tier III Certification of Design Documents,Taif University
Taikang Group,"Beijing, China",M&O Stamp Of Approval,Taikang Group
Taiwan Mobile,"Taipei City, Taiwan",Tier III Certification of Design Documents,Taiwan Mobile
Taiwan Mobile,"Taipei City, Taiwan",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Taiwan Mobile
Tamkeen,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Tamkeen
Tamkeen,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Tamkeen
"Tangshan Iron & Steel Group Well Automation Co., Ltd. (TG Well)","Tangshan Hebei, China",Tier III Certification of Design Documents,"Tangshan Iron & Steel Group Well Automation Co., Ltd. (TG Well)"
Target Corporation,"Brooklyn Park Minnesota, United States",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Target Corporation
Target Corporation,"Elk River Minnesota, United States",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Target Corporation
TARR Centrum Innowacyjności sp. z o.o.,"Toruń kujawsko-pomorskie, Poland",Tier III Certification of Design Documents,TARR Centrum Innowacyjności sp. z o.o.
TARR Centrum Innowacyjności sp. z o.o.,"Toruń kujawsko-pomorskie, Poland",Tier III Certification of Constructed Facility,TARR Centrum Innowacyjności sp. z o.o.
TD Bank Group,"Ontario, Canada",M&O Stamp Of Approval,TD Bank Group
TD Bank Group,"Scarborough, Canada",M&O Stamp Of Approval,TD Bank Group
TDS HMS,"Eden Prairie Minnesota, United States",Tier III Certification of Design Documents,TDS HMS
Technology Corporation,"Colorado Springs Colorado, United States",Tier III Certification of Constructed Facility,Technology Corporation
TEData Company,"Cairo, Egypt",Tier III Certification of Design Documents,TEData Company
Telconet S.A.,"Quito, Ecuador",Tier III Certification of Design Documents,Telconet S.A.
Telconet S.A.,"Guayaquil, Ecuador",Tier IV Certification of Design Documents,Telconet S.A.
Telebras SA,"Brasília Distrito Federal, Brazil",Tier IV Certification of Design Documents,Telebras SA
Telebras SA,"Brasília Distrito Federal, Brazil",Tier IV Certification of Constructed Facility,Telebras SA
Telecel S.A.,"Santa Cruz de la Sierra, Bolivia",Tier III Certification of Design Documents,Telecel S.A.
Telecel S.A.,"Santa Cruz de la Sierra, Bolivia",Tier III Certification of Constructed Facility,Telecel S.A.
TelecityGroup UK Limited,"London, United Kingdom",Tier III Certification of Design Documents,TelecityGroup UK Limited
Telecom Egypt,"Cairo, Egypt",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Telecom Egypt
Telecom Egypt,"Giza, Egypt",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Telecom Egypt
Telecom Egypt,"Cairo, Egypt",Tier III Certification of Design Documents,Telecom Egypt
Telecom Italia S.p.A.,"Milano, Italy",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,Telecom Italia S.p.A.
Telecom Italia S.p.A.,"Rome, Italy",Tier IV Certification of Design Documents,Telecom Italia S.p.A.
Telecom Italia S.p.A.,"Rome, Italy",Tier IV Certification of Constructed Facility,Telecom Italia S.p.A.
Telecom Italia S.p.A.,"Rozzano - MI, Italy",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Telecom Italia S.p.A.
Telefonica Celular Del Paraguay,"Asuncion, Paraguay",Tier III Certification of Design Documents,Telefonica Celular Del Paraguay
Telefónica Celular S.A.,"Tegucigalpa, Honduras",Tier III Certification of Design Documents,Telefónica Celular S.A.
Telefónica Celular S.A.,"Tegucigalpa, Honduras",Tier III Certification of Constructed Facility,Telefónica Celular S.A.
Telefónica de Nicaragua,"Managua, Nicaragua",Tier II Certification of Design Documents,Telefónica de Nicaragua
Telefónica del Peru SAA,"Lima, Peru",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Telefónica del Peru SAA
Telefónica Empresas Chile S.A.,"Santiago Región Metropolitana, Chile",Tier III Certification of Design Documents,Telefónica Empresas Chile S.A.
Telefonica Global Solutions - USA,"Miami Florida, United States",Tier III Certification of Design Documents,Telefonica Global Solutions - USA
Telefonica Global Solutions - USA,"Miami Florida, United States",Tier III Certification of Constructed Facility,Telefonica Global Solutions - USA
Telefonica VIVO,"Sao Paulo Sao Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Telefonica VIVO
"Telehouse Beijing BDA CO., LTD","Beijing, China",Tier III Certification of Design Documents,"Telehouse Beijing BDA CO., LTD"
Telekom Malaysia Bhd,"Cyberjaya Selangor, Malaysia",Tier III Certification of Constructed Facility,Telekom Malaysia Bhd
Telekom Malaysia Bhd,"Cyberjaya Selangor, Malaysia",Tier III Certification of Design Documents,Telekom Malaysia Bhd
Telekom Malaysia Bhd,"Iskandar Puteri Johor, Malaysia",Tier III Certification of Design Documents,Telekom Malaysia Bhd
Telekom Malaysia Bhd,"Iskandar Puteri Johor, Malaysia",Tier III Certification of Constructed Facility,Telekom Malaysia Bhd
Telelogix IT Services LLC.,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Telelogix IT Services LLC.
"Telia Lietuva, AB","Vilnius, Lithuania",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Telia Lietuva, AB"
Telin Singapore,Singapore,Tier III Certification of Design Documents,Telin Singapore
Telin Singapore,"Singapore, Singapore",Tier III Certification of Design Documents,Telin Singapore
Telin Singapore,"Singapore, Singapore",Tier IV Certification of Design Documents,Telin Singapore
Telin Singapore,"Singapore, Singapore",Tier III Certification of Constructed Facility,Telin Singapore
Telkom SA Limited,"Centurion Gauteng, South Africa",Tier III Certification of Design Documents,Telkom SA Limited
Telkom SA Limited,"Cape Town, South Africa",Tier IV Certification of Design Documents,Telkom SA Limited
Telstra Singapore Pte Ltd,"Singapore, Singapore",Tier III Certification of Design Documents,Telstra Singapore Pte Ltd
TELUS Communications Company,"Rimouski Quebec, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,TELUS Communications Company
TELUS Communications Company,"Kamloops British Columbia, Canada",Tier III Certification of Design Documents,TELUS Communications Company
